,Title,Poem,Poet,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"
                    Summer
                ","



for Max Ritvo



I
 
Three weeks until summer and then—what?
Midsummer’s gravity makes our heads spin
each hour a gilt thread spool, winding through
the second hand, gossamer fin de semaine,fin de siècle, fin slicing the water
of the too-cold-to-breathe bay, molten silver,
then receding as if we hadn’t seen it,
sultan of so long, see you tomorrow.
               Dead man’s fingers, lady’s slippers, a seal
who swims too close—too close for what? The needle
swerves. Our element chooses us. Water
fire, air, earth—the rosebush, Lazarus,
hot to the touch, gold reticulate, is love’s
bull’s-eye, attar rising from the rafters.
 
 
II
 
If I could make it stop I would. Was it
the crocodile Hook feared, or was it time?
The hour’s arrow never misses, the gnomon,
glinting, cuts the Day-Glo sun to pieces.
In the ultraviolet palace of the Mermaid King
his girls wear scallop shells, one for each year
on their turquoise tails. Even they have birthdays,
why not you? Death, hold your ponies with one
hand, and stay awhile. On my desk, the lion’s
paw lamps scavenged from the winter beach,
its poppy-colored shells like the lit scales
of an enormous Trojan fish … teeth chattering,
its metronome time bomb tsk tsk—
when is giving up not giving in?
 
 
III (child’s pose)
 
When Alice pulled the stopper, did she get
smaller, or did the world get larger? In
the bath, your nose bleeds a bouquet of tissue
roses, white stained red—adolescence
is to overdo it, but really? Thirty
stories up, our birds’-eye view is
the hummingbird tattoo on your bare head,
wings beating, too tiny and too big to see,
your wire-thin profile drawn upright, bones
               daring the air, marionette running on
the brain’s dark marrow, tungsten for the fireflies’
freeze tag. Due south, the Chrysler Building’s gauntlet
holds a lit syringe. We do and do not change.
Let me go from here to anywhere.
 
 
IV
 
That’s it for now. And so we turn the page
your poems standing in for you, or—that’s
not it, what’s left of you, mediating
between what you’d call mind and body
and I, by now biting my lip, call grief,
               the lines netting the enormous air
like silver threads, the tails of Mr. Edwards’s
spiders with which they sail from ledge to branch
“as when the soul feels jarred by nervous thoughts
and catch on air.” Pace. Your trousers worn
to mouse fur dragging on the stoop, your hip
prongs barely holding them aloft, the past
a phaeton, its sunlit reins bucking
at before and after, but there is no after.
 
 
V
 
Or is there? For once, when you rock back
on the chair I don’t say don’t do that,
forelegs lifting, hooves pawing the air—
Every departure’s an elopement,
the shy cat fiddling while Rome sizzles,
spoon mirror flipping us upside down.
               Son of Helios, rainbow fairy lights
blazing, when one light goes out they all
go out. At the top of the dune, the thorny
crowns of buried trees, their teeter-totter
branches a candelabra for the spiders’
silvery halo of threads. What a terrible
business it is, saying what you mean.
               Speak, sky, the horizon scored by talons.
",Cynthia Zarin,Sorrow & Grieving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"
                    Japanese Poems
                ","
Between the bent boughs
of the splayed sumac the silver
owl rests his head.
 
The perimeter
left by your absence is long
to walk in one day.
 
The angel in her
credenza of extreme beauty
dogs swim the river
 
I look for my heart
by the lamp where the light is
skitter in the wet black leaves
",Cynthia Zarin,"Sorrow & Grieving,Trees & Flowers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"
                    The Lucky Ones
                ","
Our labor realized in the crowns
of marigolds, blue eyes of the hydrangeas,
smell of lavender and late bloom of the hosta’s
erect purple flower with its marvel of thick
green leaves. In our twilight
every year we trimmed back and the garden grew
more lustrous and untamable as if the eternal woods
and animals asleep at night in its beds were claiming it back.
The water in the pool shimmered an icy Tuscan blue.
 
When we arrived we swam
until the stress from the grueling
life in the city released our bodies. Later
we sat under the umbrella and watched a garter snake
slip into the water, careful not to startle
its flight-or-fight response. Its barbed-wire
coil. Comet of danger, serpent of the water,
how long we had thwarted the venom of its secret
lures and seductions.
It swam by arching then releasing
its slithery mercurial form.
Through the lanky trees
we heard the excited cries
of the neighbor’s children—ours, the boy in our late youth,
of our happiness and our struggles, the boy who made us whole
and broken, was in his room perhaps dreaming
of a girl and sleeping the long, tangled sleep of a teenager.
 
It was a miracle, our ignorance. It was grace
incarnate, how we never knew.
",Jill Bialosky,"Gardening,Animals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"
                    The Mothers
                ","
We loved them.
We got up early
to toast their bagels.
Wrapped them in foil.
We filled their water bottles
and canteens. We washed
and bleached their uniforms,
the mud and dirt
and blood washed clean
of brutality. We marveled
at their bodies,
thighs thick as the trunk
of a spindle pine,
shoulders broad and able,
the way their arms filled out.
The milk they drank.
At the plate we could make out
their particular stance, though each
wore the same uniform as if they were
cadets training for war.
If by chance one looked up at us
and gave us a rise with his chin,
or lifted a hand, we beamed.
We had grown used to their grunts,
mumbles, and refusal to form a full sentence.
We made their beds and rifled through their pockets
and smelled their shirts to see if they were clean.
How else would we know them?
We tried to not ask too many questions
and not to overpraise.
Sometimes they were ashamed of us;
if we laughed too loud,
if one of us talked too long to their friend,
of our faces that had grown coarser.Can’t you put on lipstick?
We let them roll their eyes,
curse, and grumble at us
after a game if they’d missed a play
or lost. We knew to keep quiet;
the car silent the entire ride home.
What they were to us was inexplicable.
Late at night, after they were home in their beds,
we sat by the window and wondered
when they would leave us
and who they would become
when they left the cocoon of our instruction.
What kind of girl they liked.
We sat in a group and drank our coffee
and prayed that they’d get a hit.
If they fumbled a ball or struck out
we felt sour in the pit of our stomach.
We paced. We couldn’t sit still or talk.
Throughout summer we watched
the trees behind the field grow fuller
and more vibrant and each fall
slowly lose their foliage—
it was as if we wanted to hold on
to every and each leaf.
",Jill Bialosky,"Parenthood,Sports & Outdoor Activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"
                    Jane Austen
                ","



“A fine Sunday in Bath empties every house of its inhabitants, and all the world appears on such an occasion to walk about and tell their acquaintance what a charming day it is.” —northanger abbey



I awoke from the tunnel
to the fields of yellow rape,
seventeenth-century buildings, and cobbled
streets as she would have seen them.
It was rainy; the rain came and went,
came and went so that you could not escape
its dampness. I understood the need for tea
and the luxury of cremes and pastries
and why the ladies longed for a strong shoulder
to see them through the winter.
The seagulls cried overhead,
though there was no sea, only a muddy river
from Bath to Bristol. The scavengers
lived on the rooftops and if desperate
enough would swoop down and take
a sandwich from your hand.
I secured my room at the Royal Bath Hotel.
It was a hovel, really, with a carpet
as old as the early century.
Walking through the hotel,
I sensed something lurid
in the air, every eye upon me as if they knew
I was a foreigner in a strange land.
Over the bed, a burgundy bedspread
dusty and faded as vintage wine,
made me long for the bright color of red.
In the next room, sleepless, I heard
through thin walls the sounds
of an un-tender coupling.
I looked in the warped mirror
and found myself ugly
and when I turned from it,
could not escape the vision.
It lingered. The rain came and went,
came and went. I took an umbrella
and began my walk, hoping to come upon
her quarters. I passed the Roman Baths,
the statues not beautiful,
but puckered and fossilled
and the Pump Room where her protagonist,
other self, doppelgänger,
good, strong, loyal Catherine,
longing for companionship, fell
under the seduction of Isabella
and her reprehensible brother.
Even then her coming out
seemed less magisterial,
and Bath a representation of the emptiness
and evils of society where a woman’s dowry
might confine her forever,
than a reprieve from country life.
I gave up my search.
Images were everywhere.
And my mind had been made up.
I perceived no romance
in the wind, no comfort in the hard
glances of strangers, girls with chipped nail polish,
lads unkempt as if there were no hope of glory.
The next morning I boarded the train
to the modern world and it wasn’t until a sheet
of blue slipped out like a love letter
from its envelope of dark gray sky
that I knew the journey had ended
and, like Catherine, I was finally safe.
",Jill Bialosky,"Travels & Journeys,Reading & Books",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"
                    Anne Frank Huis
                ","
Even now, after twice her lifetime of grief
and anger in the very place, whoever comes
to climb these narrow stairs, discovers how
the bookcase slides aside, then walks through
shadow into sunlit room, can never help
 
but break her secrecy again. Just listening
is a kind of guilt: the Westerkirk repeats
itself outside, as if all time worked round
towards her fear, and made each stroke
die down on guarded streets. Imagine it—
 
four years of whispering, and loneliness,
and plotting, day by day, the Allied line
in Europe with a yellow chalk. What hope
she had for ordinary love and interest
survives her here, displayed above the bed
 
as pictures of her family; some actors;
fashions chosen by Princess Elizabeth.
And those who stoop to see them find
not only patience missing its reward,
but one enduring wish for chances
 
like my own: to leave as simply
as I do, and walk at ease
up dusty tree-lined avenues, or watch
a silent barge come clear of bridges
settling their reflections in the blue canal.
 
",Andrew Motion,War & Conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"
                    Passing On
                ","
By noon your breathing had changed from normal
to shallow and panicky. That’s when the nurse saidNearly there now, in the gentle voice of a parent
comforting a child used to failure, slipping her arms
beneath your shoulders to hoist you up the pillows,
then pressing a startling gauze pad under your jaw.
 
Nearly there now. The whole world seemed to agree—
as the late April sky deepened through the afternoon
into high August blue, the vapour trails of two planes
converged to sketch a cross on the brow of heaven.
My brother Kit and I kept our backs turned to that
except now and again. It was the room I wanted to see,
 
because it contained your last example of everything:
the broken metal window-catch that meant no fresh air;
your toothbrush standing to attention in its plastic mug;
the neutral pink walls flushed into definite pale red
by sunlight rejoicing in the flowering cherry outside;
your dressing-gown like a stranger within the wardrobe
 
eavesdropping. That should have been a sign to warn us,
but unhappiness made us brave, or do I mean cowardly,
and Kit and I talked as if we were already quite certain
you could no longer hear us, saying how easy you were
to love, but how difficult always to satisfy and relax—
how impossible to talk to, in fact, how expert with silence.
 
You breathed more easily by the time we were done,
although the thought you might have heard us after all,
and our words be settling into your soft brain like stones
onto the bed of a stream—that made our own breathing
tighter. Then the nurse looked in: Nothing will changehere for a while boys, and we ducked out like criminals.
 
I was ordering two large gins in the pub half a mile off
when my mobile rang. It was the hospital. You had died.
I put my drink down, then thought again and finished it.
Five minutes later we were back at the door of your room
wondering whether to knock. Would everything we said
be written on your face, like the white cross on the heavens?
 
Of course not. It was written in us, where no one could find it
except ourselves. Your own face was wiped entirely clean—
and so, with your particular worries solved, and your sadness,
I could see more clearly than ever how like mine it was,
and therefore how my head will eventually look on the pillow
when the wall opens behind me, and I depart with my failings.
 
",Andrew Motion,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"
                    A Moment of Reflection
                ","



28 June 1914



Although an assassin has tried
and failed to blow him to pieces earlier this morning,
Archduke Ferdinand has let it be known
he will very soon complete his journey
as planned along the quay in Sarajevo.
 
For a moment, however,
he has paused to recover his composure
at the window of a private room in the Town Hall,
after finding the blood of his aide-de-camp
spattered over the manuscript of the speech
he was previously unable to complete.
 
And indeed,
the prospect of an Austrian brewery in the distance
is reassuring,
likewise the handsome bulk of the barracks
filled with several thousand soldiers of the fatherland.
 
This is how those who survive today will remember him:
 
a man thinking his thoughts
until his wife has finished her duties—
the Countess Chotek, with her pinched yet puddingy features,
to whom he will whisper shortly,
‘Sophie, live for our children’,
although she will not hear.
 
As for his own memories:
 
the Head of the local Tourist Bureau has now arrived
and taken it upon himself to suggest
the Archduke might be happy to recall the fact
that only last week he bagged his three thousandth stag.
 
Was this, the Head dares to enquire,
with the double-barrelled Mannlicher
made for him especially—
the same weapon he used to dispatch
two thousand one hundred and fifty game birds
in a single day,
and sixty boars in a hunt led by the Kaiser?
 
These are remarkable achievements
the Head continues,
on the same level as the improvement
the Archduke has suggested in the hunting of hare,
by which the beaters,
forming themselves into a wedge-shape,
squeeze those notoriously elusive creatures
towards a particular spot
where he can exceed the tally of every other gun.
 
In the silence that follows
it is not obvious whether the Archduke
has heard the question.
 
He has heard it.
 
He is more interested, however,
in what these questions bring to mind:
 
an almost infinite number of woodcock,
pigeon, quail, pheasant and partridge,
wild boars bristling flank to flank,
mallard and teal and geese
dangling from the antlers of stags,
layer and layer of rabbits
and other creatures that are mere vermin—
 
a haul that he predicts will increase
once the business of today has been completed.
",Andrew Motion,"Sports & Outdoor Activities,History & Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"
                    Losses
                ","
General Petraeus, when the death-count of American troops
in Iraq was close to 3,800, said ‘The truth is you never do get
used to losses. There is a kind of bad news vessel with holes,
 
and sometimes it drains, then it fills up, then it empties again’—
leaving, in this particular case, the residue of a long story
involving one soldier who, in the course of his street patrol,
 
tweaked the antenna on the TV in a bar hoping for baseball,
but found instead the snowy picture of men in a circle talking,
all apparently angry and perhaps Jihadists. They turned out to be
 
reciting poetry. ‘My life’, said the interpreter, ‘is like a bag of flour
thrown through wind into empty thorn bushes’. Then ‘No, no’, he said,
correcting himself. ‘Like dust in the wind. Like a hopeless man.’
",Andrew Motion,"Poetry & Poets,War & Conflict",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"
                    Laying the Fire
                ","
I am downstairs early
looking for something to do
 
when I find my father on his knees
at the fireplace in the sitting-room
sweeping ash
from around and beneath the grate
with the soft brown hand-brush
he keeps especially for this.
 
Has he been here all night
waiting to catch me out?
So far as I can tell
I have done nothing wrong.
 
I think so again
when he calls my name
without turning round;
 
he must have seen me
with the eyes in the back of his head.
 
‘What’s the matter old boy?
Couldn’t sleep?’
 
His voice is kinder than I expect,
as though he knows
we have in common a sadness
I do not feel yet.
 
I skate towards him in my grey socks
over the polished boards of the sitting-room,
 
negotiating the rugs
with their patterns of almost-dragons.
 
He still does not turn round.
 
He is concentrating now
on arranging a stack of kindling
on crumpled newspaper in the fire basket,
 
pressing small lumps of coal
carefully between the sticks
as though he is decorating a cake.
 
Then he spurts a match,
and chucks it on any old how,
 
before spreading a fresh sheet of newspaper
over the whole mouth of the fireplace
to make the flames take hold.
 
Why this fresh sheet
does not also catch alight
I cannot think.
 
The flames are very close.
 
I can see them
and hear them raging
through yesterday’s cartoon of President Kennedy
 
and President Khrushchev
racing towards each other in their motorcars
both shouting
I’m sure he’s going to stop first!
 
But there’s no need to worry.
Everything
is just as my father wants it to be,
and in due time,
when the fire is burning nicely,
he whisks the newspaper clear,
 
folds it under his arm,
 
and picks up the dustpan
with the debris of the night before.
 
Has he just spoken to me again?
I do not think so. I
do not know.
I was thinking how neat he is.
I was asking myself:
will I be like this? How will I manage?
 
After that he chooses a log
from the wicker wood-basket
to balance on the coals,
and admires his handiwork.
 
When the time comes to follow him,
glide, glide over the polished floor,
he leads the way to the dustbins.
 
A breath of ash
pours continuously over his shoulder
from the pan he carries before him
like a man bearing a gift
in a picture of a man bearing a gift.
",Andrew Motion,"Indoor Activities,Home Life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"
                    In My Little Room
                ","
In my little room, the emperor removes
his robe and we chat
about the mechanics of winning
an election.
“I came, I saw, I conquered,” he says.
When the moon comes out above the
dilapidated warehouse, he asks me
the profundity of going to the moon
and back again to the same ghetto room.
 
If it pleases your majesty, I say,
the gods make the ghettos.
“I am King,” says the emperor, “I shall
have no gods.”
And he shakes, nearly spilling his oolong tea.
When he has calmed down enough, I
drop two lumps of sugar into his cup.
He marvels at my calculus book and integration
theory and digital watch.
“Had I one of those,” he says, “I would have timed
my crossing of the Rubicon at eighteen,
and what barbarian woman would not have given herself
for that!”
 
He yawns imperially over
my utensils, books, and cot
and asks me to cross the Rubicon with him.
And I nod while doing tax equations for his majesty
because the hour is late.
He is delighted with the hot chocolate
that I make on a hot plate
and, after making a rough estimate of the roaches
on the wall, he sleeps on my cot
as any sovereign would.
 
I rattle my typewriter like a machine-
gun all night, partly because it is my
habit, and partly to protect my friend,
the emperor. For though he has crossed
the Rubicon with the bravest of men,
he has yet to sleep a single night
in the ghetto.
",Koon Woon,Money & Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"
                    Let the Chinese Mafia Sleep Tonight
                ","
Let them sleep and dream the dream of lobsters;
I am likewise at peace in my little cottage
trying to become Mr. Five Willows.
 
I figure a crabapple is useful to no one but itself,
but my safety depends on having no place where death can enter
and not acting on every rustling of the smallest branch.
 
My abode is at the bank of a river, a river that comes
out of the marsh where the river merchant’s wife
has pined for her departed husband for the last 300 years.
 
Beetles fight on a dung heap; that’s the essence of war.
With axes and arrows, a superior force approaches my door;
let them knock lightly, so as not to disturb the
 
bird in the cage, which I am coaxing to sing,
while the candle burns to illumine the midnight lore
whose frayed texts drive me to the brink of insanity.
 
Let them all sleep and dream that the God of War
has brought them riches in the shape of gold nuggets
only to find in the morning
an empty store.
 
You can be in my dreams
if I can be in yours. In any case,
let the Chinese mafia sleep tonight
so I can be at peace
 
and in the morning, open wide my door.
",Koon Woon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"
                    Goldfish
                ","
The goldfish in my bowl
turns into a carp each night.
Swimming in circles in the day,
regal, admired by emperors,
but each night, while I sleep,
it turns into silver, a dagger
cold and sharp, couched at one spot,
enough to frighten cats.
 
The rest of the furniture
squats in the cold and dark,
complains of being a lone man’s
furnishings, and plots a revolt.
I can hear myself snore, but not
their infidelity. Sometimes I wake
with a start; silently they move back
into their places.
 
I have been unpopular with myself,
pacing in my small, square room.
But my uncle said, “Even in a palace,
you can but sleep in one room.”
With this I become humble as a simple
preacher, saying, “I have no powers;
they emanate from God.”
With this I sleep soundly,
 
Fish or no fish, dagger or no dagger.
When I wake, my fish is gold,
it pleases me with a trail of bubbles.
My furniture has been loyal all night,
waiting to provide me comfort.
There was no conspiracy against a poor man.
With this I consider myself king.
",Koon Woon,Pets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"
                    How to Cook Rice
                ","
Measure two handfuls for a prosperous man.
Place in pot and wash by rubbing palms together
as if you can’t quite get yourself to pray, or
by squeezing it in one fist. Wash
several times to get rid of the cloudy water;
when you are too high in Heaven, looking down
at the clouds, you can’t see what’s precious below.
Rinse with cold water and keep enough so that
it will barely cover your hand placed on the rice.
Don’t use hot water, there are metallic diseases
colliding in it. This method of measuring water will work
regardless of the size of the pot; if the pot is large,
use both hands palms down as if to pat your own belly.
Now place on high heat without cover and cook
until the water has been boiled away except in craters
resembling those of the moon, important
in ancient times for growing rice. Now place lid on top
and reduce heat to medium, go read your newspaper
until you get to the comics, then come back and turn it down to low.
The heat has been gradually traveling from the outside
to the inside of the rice, giving it texture;
a similar thing happens with people, I suppose.
 
Go back to your newspaper, finish the comics, and read
the financial page. Now the rice is done, but before
you eat, consider the peasant who arcs in leech-infested
paddies and who carefully plants the rice seedlings
one by one; on this night, you are eating better than he.
If you still don’t know how to cook rice, buy a Japanese
automatic rice cooker; it makes perfect rice every time!
",Koon Woon,"Eating & Drinking,Class",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
